session_id,alter_id,choice,reco_contains_mh,reco_contains_tg,reco_contains_pg,reco_contains_sq,reco_contains_vn,reco_contains_cx,reco_contains_od,deptime_outbound_sin2p,deptime_outbound_sin4p,deptime_outbound_cos2p,deptime_outbound_cos4p,deptime_inbound_sin2p,deptime_inbound_sin4p,deptime_inbound_cos2p,deptime_inbound_cos4p,group,group2
340251214,40,1,0,0,0,1,0,0,0,.94693011,-.60876149,-.3214395,-.79335326,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340252562,28,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340253668,51,1,0,1,0,0,0,0,0,.8314696,-.9238795,-.55557024,-.38268343,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340255012,14,1,0,1,0,0,0,0,0,.8314696,-.9238795,-.55557024,-.38268343,-.93200779,-.6755904,.36243817,-.73727715,1,hola
340262814,21,1,0,0,0,1,0,0,0,-.98078525,-.38268343,.19509032,-.9238795,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340262872,41,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340403524,8,1,0,1,0,0,0,0,0,.8314696,-.9238795,-.55557024,-.38268343,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340412812,18,1,0,1,0,0,0,0,0,.8314696,-.9238795,-.55557024,-.38268343,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340415724,49,1,0,0,0,1,0,0,0,-.30070573,.57357633,-.95371699,.81915212,-.065403335,.1305266,-.99785888,.99144483,1,hola
340417532,26,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.6755904,-.99619472,.73727715,.087155186,1,hola
340417988,10,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,.55557024,-.9238795,-.8314696,.38268343,1,hola
340418296,13,1,0,1,0,0,0,0,0,.8314696,-.9238795,-.55557024,-.38268343,-.93200779,-.6755904,.36243817,-.73727715,1,hola
340420616,55,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340427254,8,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340427890,4,1,0,1,0,0,0,0,0,-.70710677,-1,.70710677,-4.2862639e-16,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340431072,37,1,0,0,0,1,0,0,0,-.30070573,.57357633,-.95371699,.81915212,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340431972,46,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.93200779,-.6755904,.36243817,-.73727715,1,hola
340432802,55,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,.13052623,-.25881913,-.99144483,.96592581,1,hola
340439712,16,1,0,0,0,0,0,1,0,-.49999982,.86602521,-.86602551,.50000036,-.19509032,.38268343,-.98078525,.9238795,1,hola
340441298,53,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.93200779,-.6755904,.36243817,-.73727715,1,hola
340442372,4,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.93200779,-.6755904,.36243817,-.73727715,1,hola
340443062,13,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340443648,55,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.46174869,.81915212,-.88701081,.57357633,1,hola
340445668,47,1,0,1,0,0,0,0,0,.8314696,-.9238795,-.55557024,-.38268343,-.93200779,-.6755904,.36243817,-.73727715,1,hola
340448274,55,1,0,1,0,0,0,0,0,.8314696,-.9238795,-.55557024,-.38268343,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340448630,5,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340448858,1,1,0,0,0,1,0,0,0,.94693011,-.60876149,-.3214395,-.79335326,.55557024,-.9238795,-.8314696,.38268343,1,hola
340454970,58,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.065403335,.1305266,-.99785888,.99144483,1,hola
340456352,11,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340456550,25,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.6755904,-.99619472,.73727715,.087155186,1,hola
340603016,34,1,0,0,0,1,0,0,0,-.30070573,.57357633,-.95371699,.81915212,-.6755904,-.99619472,.73727715,.087155186,1,hola
340603166,2,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340603470,11,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.93200779,.6755904,-.36243817,-.73727715,1,hola
340605676,11,1,0,0,0,1,0,0,0,.94693011,-.60876149,-.3214395,-.79335326,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340609490,48,1,0,0,0,1,0,0,0,-.30070573,.57357633,-.95371699,.81915212,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340626448,33,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340629148,48,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340629790,6,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340630736,58,1,0,0,0,0,0,1,0,-.49999982,.86602521,-.86602551,.50000036,-.19509032,.38268343,-.98078525,.9238795,1,hola
340631860,29,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340632922,5,1,0,0,0,1,0,0,0,.94693011,-.60876149,-.3214395,-.79335326,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340633660,58,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340634586,22,1,0,0,0,1,0,0,0,-.98836148,-.30070633,.15212366,-.95371675,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340634738,26,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340634970,36,1,1,0,0,0,0,0,0,-.9238795,-.70710677,.38268343,-.70710677,.999762,.043619361,.021814872,-.99904823,1,hola
340635272,52,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,.19509032,-.38268343,-.98078525,.9238795,1,hola
340639498,38,1,0,0,0,0,0,1,0,-.40274656,.73727715,-.91531152,.6755904,.04361942,-.087155811,-.99904823,.99619472,1,hola
340640322,47,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,.57357633,-.9396925,-.81915212,.34202039,1,hola
340640504,57,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.7933532,.96592593,-.60876161,-.25881863,1,hola
340641156,3,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
340642298,19,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.81915212,.9396925,-.57357633,-.34202039,1,hola
340645566,13,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340645622,41,1,0,0,0,1,0,0,0,.95371699,-.57357633,-.30070573,-.81915212,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340645746,28,1,0,0,0,1,0,0,0,-.21643947,.422618,-.97629601,.90630788,.57357633,-.9396925,-.81915212,.34202039,1,hola
340646306,19,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.90630788,-.76604408,.422618,-.64278805,1,hola
340647208,4,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.46174869,.81915212,-.88701081,.57357633,1,hola
340647322,33,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340647632,51,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.99144489,-.25881863,.13052599,-.96592593,1,hola
340648212,40,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.46174869,.81915212,-.88701081,.57357633,1,hola
340649588,25,1,0,0,0,1,0,0,0,-.21643947,.422618,-.97629601,.90630788,-.065403335,.1305266,-.99785888,.99144483,1,hola
340652370,25,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340652484,47,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340653616,36,1,0,0,0,1,0,0,0,-.21643947,.422618,-.97629601,.90630788,-.065403335,.1305266,-.99785888,.99144483,1,hola
340653848,56,1,0,0,0,0,0,1,0,-.40274656,.73727715,-.91531152,.6755904,.04361942,-.087155811,-.99904823,.99619472,1,hola
340655554,16,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.7933532,.96592593,-.60876161,-.25881863,1,hola
340656210,47,1,0,0,0,1,0,0,0,-.99144489,.25881863,-.13052599,-.96592593,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340656840,1,1,0,0,0,1,0,0,0,-.98836148,-.30070633,.15212366,-.95371675,.57357633,-.9396925,-.81915212,.34202039,1,hola
340657196,16,1,0,0,0,1,0,0,0,-.99144489,.25881863,-.13052599,-.96592593,-.70710677,-1,.70710677,-4.2862639e-16,1,hola
340657626,23,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
340657658,43,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.065403335,.1305266,-.99785888,.99144483,1,hola
340657868,17,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.91531152,.73727715,-.40274656,-.6755904,1,hola
340658672,25,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.90630788,-.76604408,.422618,-.64278805,1,hola
340659424,29,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.46174869,.81915212,-.88701081,.57357633,1,hola
340659646,13,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.46174869,.81915212,-.88701081,.57357633,1,hola
340659842,7,1,0,0,0,0,0,1,0,-.40274656,.73727715,-.91531152,.6755904,.04361942,-.087155811,-.99904823,.99619472,1,hola
340661974,50,1,0,0,0,1,0,0,0,-.21643947,.422618,-.97629601,.90630788,-.85491174,-.88701111,.5187735,-.46174812,1,hola
340662728,58,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.7933532,.96592593,-.60876161,-.25881863,1,hola
340806318,35,1,0,1,0,0,0,0,0,-.73727715,-.99619472,.6755904,-.087155186,.86602539,-.86602545,-.50000006,-.49999994,1,hola
340807964,59,1,0,0,0,0,0,1,0,-.40274656,.73727715,-.91531152,.6755904,.04361942,-.087155811,-.99904823,.99619472,1,hola
340808332,35,1,0,1,0,0,0,0,0,-.99785888,-.1305266,.065403335,-.99144483,-.90630788,-.76604408,.422618,-.64278805,1,hola
340808608,53,1,0,0,0,0,0,1,0,-.40274656,.73727715,-.91531152,.6755904,.04361942,-.087155811,-.99904823,.99619472,1,hola
340811662,10,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,.19509032,-.38268343,-.98078525,.9238795,1,hola
